Clase,Loudness,Duration,Spectral Energy,Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
ARTIFICIAL,-38.04915237426758,7.56,0.07338021,0.12364000191717792,2531.2525928918612,2327.640023378493,22.749215887890667,-269.9154968261719,78.54315185546875,1.3760662078857422,17.139497756958008,8.139859199523926,-1.8481074571609497,-11.853468894958496,-18.506202697753906,-16.969249725341797,-1.6701173782348633,-18.56745147705078,0.8177002668380737,-9.487944602966309,-10.291301727294922,-0.22622132301330566,-4.509468078613281,-12.398941040039062,2.0276129245758057,-9.418787002563477,-2.7055180072784424
ARTIFICIAL,-29.65712224634585,7.56,0.07942563,0.2616019219708589,4174.055723755515,3261.341927124413,15.331618332574585,-122.8773261235923,31.623997457505247,13.816935013360615,7.880801045764352,4.76371326651207,0.33242433546216676,-7.503495336447458,-11.272058912313609,-10.096531663630431,-5.535966847154458,-7.447779936825706,-3.4738384744984137,-5.286268052859162,-5.248060488681744,-1.8875187528638455,-2.966502655630647,-4.394436794817207,-2.5392292940257097,-3.1629602615661807,-2.949905561272298
ARTIFICIAL,-40.84433364868164,7.56,0.04679652,0.10721068587039877,2461.92481303347,2373.266362284915,23.670276757311754,-303.67059326171875,81.58006286621094,-1.4386820793151855,14.169930458068848,6.904538154602051,-2.7192766666412354,-12.992873191833496,-20.730785369873047,-17.366926193237305,-0.7453622817993164,-17.052465438842773,0.7955084443092346,-8.423440933227539,-9.114089965820312,-0.5571479797363281,-4.8654022216796875,-12.488845825195312,1.2784940004348755,-9.258915901184082,-3.0316784381866455
ARTIFICIAL,-37.344852447509766,7.56,0.07455458,0.12152211944018405,2541.881626781524,2329.00177258608,22.85999341229919,-264.4162292480469,79.01659393310547,1.7841832637786865,17.04961585998535,7.626914024353027,-1.655105471611023,-11.82076644897461,-18.626544952392578,-17.546417236328125,-1.802290439605713,-18.80213165283203,0.9249430298805237,-9.529885292053223,-10.482378005981445,-0.36446964740753174,-4.510181427001953,-12.525446891784668,2.024320125579834,-9.462166786193848,-2.856987237930298
ARTIFICIAL,-39.05946350097656,7.56,0.049351323,0.1192649420053681,2561.273444940688,2443.5579444959967,23.86958012510865,-287.69677734375,78.18010711669922,1.9619579315185547,14.884181022644043,6.281752586364746,-4.238431930541992,-16.182476043701172,-22.3290958404541,-15.070372581481934,-3.966111898422241,-18.787717819213867,2.0811686515808105,-13.292506217956543,-7.296690940856934,-0.6803609728813171,-8.528995513916016,-9.92782974243164,1.3047517538070679,-10.813300132751465,-0.6594886183738708
ARTIFICIAL,-42.72413635253906,7.56,0.05336476,0.14226957917944785,2500.7371677478914,2132.73784055557,22.554460428152275,-322.4129943847656,65.89696502685547,-17.425996780395508,15.223617553710938,-2.841815710067749,-16.675777435302734,-12.652233123779297,-11.589751243591309,-14.881211280822754,-9.07094955444336,-18.237619400024414,3.1057629585266113,-16.32463264465332,3.765346050262451,-12.260231018066406,-7.850099086761475,-6.591705322265625,-7.580692768096924,-14.714559555053711,0.016501041129231453
ARTIFICIAL,-33.53492093498215,7.56,0.056381267,0.25128211273006135,4032.770788302433,3140.7918295671793,15.883334389096575,-181.80363032191386,27.88640271386637,1.3550600118386131,5.341287462691245,0.8048102406643248,-9.884973033409482,-8.487514433556184,-6.448409833448058,-8.638062973377291,-8.292035401026691,-6.999409329611348,-3.517354881056421,-4.899573740192514,-1.3163287723300263,-4.732251302090547,-5.461757919529972,-3.5947934964406953,-5.238408231060439,-7.50294328433342,-3.0116712071606258
ARTIFICIAL,-42.53923034667969,7.56,0.039751712,0.16256919814033743,2722.620885261395,2299.0175748088623,23.71137467651678,-336.55517578125,62.68086242675781,-13.554856300354004,11.67066764831543,-4.99850606918335,-17.1588077545166,-14.26995849609375,-11.864422798156738,-16.76580238342285,-9.804777145385742,-18.3607234954834,2.807236909866333,-16.047178268432617,2.782513380050659,-13.514765739440918,-8.33278751373291,-7.9004364013671875,-7.349743366241455,-15.866103172302246,0.013539155945181847
ARTIFICIAL,-43.18812942504883,7.56,0.051783018,0.14701309672162577,2514.425386787836,2137.9460107296563,22.45529674343236,-328.9450378417969,65.75260925292969,-16.9570255279541,15.479408264160156,-2.5233986377716064,-16.083375930786133,-12.721349716186523,-10.756916999816895,-14.954340934753418,-8.874354362487793,-18.05034637451172,3.3237881660461426,-16.54646873474121,3.77691912651062,-12.200074195861816,-7.769064903259277,-6.737123966217041,-7.296697616577148,-14.846065521240234,0.338149756193161
ARTIFICIAL,-43.11351776123047,7.56,0.038279768,0.15837087806748465,2782.0432554229305,2399.770187107769,25.989791377122117,-332.3985290527344,62.50189971923828,-15.903640747070312,10.839274406433105,-4.565983295440674,-22.359642028808594,-10.992761611938477,-15.743577003479004,-12.101601600646973,-14.729207992553711,-11.994172096252441,-1.4554709196090698,-12.383872032165527,1.9226845502853394,-13.843245506286621,-7.786916255950928,-5.8484344482421875,-12.676919937133789,-9.291872024536133,-3.4716296195983887
