,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
40,40,1013.5970624230358,9.0,497.9573706834461,0.066253289208458,0.0012160981952693,0.0633519914413305,0.0023707300147073,30.0,31.0,31.0,1002.0181144331724,0.000234565417644,66.18703591924961,4.0,jonathan,6.0,11.0,5.0,31,6.2,0
41,41,532.8214348416078,11.0,202.1583757195885,0.0780767581503107,-0.0006201391139329,0.0801805089987093,-0.0037914214328056,23.0,23.0,23.0,715.789162432906,-0.001870448208419,55.66872856117155,26.0,jonathan,11.0,16.0,5.0,23,4.6,1
42,42,490.6902272348309,8.0,497.4949382743471,0.0814341014545027,0.0012120332755495,0.08412839949314,-0.0149054170824678,28.0,27.0,28.0,1003.234175898431,-4.271563524104306e-05,81.35266735304826,55.0,jonathan,16.0,21.0,5.0,28,5.6,0
43,43,451.5615727329647,8.0,448.9829790782653,0.0701494761462851,-0.0006546324484914,0.068430599011747,-0.013446900405089,27.0,26.0,27.0,1002.4251962391664,1.7193655204947392e-05,70.07932667013887,53.0,jonathan,21.0,26.0,5.0,26,5.2,1
44,44,488.4035058296354,9.0,502.0687848858451,0.0701713910612693,0.0003252049070823,0.063405050237319,-0.0224938599579835,32.0,27.0,31.0,1002.3808326668268,0.0002011638564454,70.10121967020812,43.0,jonathan,26.0,31.0,5.0,30,6.0,0
45,45,428.5474442921442,9.0,503.3633112902308,0.062210509581128,-0.0004849164491796,0.0608043094965751,-0.0068203037125669,27.0,25.0,27.0,1001.6276006136948,0.0004764790370332,62.1482990715469,51.0,jonathan,31.0,36.0,5.0,26,5.2,1
46,46,265.6326896595812,9.0,364.51479182514566,0.0598764751488465,-0.0009196686520957,0.0524877242472223,-0.0140141081325571,18.0,16.0,18.0,638.6964789535649,-0.0004449764921099,38.141314669815245,30.0,jonathan,36.0,39.19,3.1899999999999977,15,4.702194357366775,1
47,47,663.6256612126163,8.0,555.5060996157492,0.0736403051538048,0.0005486044927181,0.0723805279073457,0.0028295974739794,31.0,29.0,32.0,1002.7597670184653,0.0003962239214028,73.56666484865104,23.0,juan,12.4,17.4,4.999999999999998,31,6.200000000000002,0
48,48,607.9290111775268,7.0,448.4000749293702,0.0852640628680372,0.0009484942665182,0.0878756111628671,-0.001848001720929,31.0,30.0,31.0,1003.737533151368,-0.0004012263426352,85.17879880516918,41.0,juan,17.4,22.4,5.0,31,6.2,1
49,49,492.2134778549316,8.0,479.2923879192844,0.0893892004905303,-0.0007519686141503,0.0917742853799206,-0.0128612222660411,31.0,30.0,30.0,1004.1241467013474,-0.0004735861183051,89.29981129003984,62.0,juan,22.4,27.4,5.0,30,6.0,1
50,50,527.9712466017526,7.0,540.8048878359126,0.0936615542422144,-0.0013646956183829,0.0970545423520012,-0.0041105433864725,30.0,30.0,31.0,1004.5989019615832,-0.0004689809488138,93.56789268797225,59.0,juan,27.399999999999995,32.39999999999999,4.9999999999999964,30,6.000000000000004,0
51,51,378.7303556630748,7.0,353.57055524188735,0.0825803793645044,0.0009439651414357,0.0848362182737137,-0.0039657353444263,22.0,22.0,22.0,737.2183207596014,7.935726967000828e-05,60.6139984535463,40.0,juan,32.39999999999999,36.19,3.7900000000000063,20,5.277044854881257,1
52,52,594.9712325035068,9.0,542.1845503076047,0.0903168203587463,0.0013037866551669,0.0957296422780089,0.0079466058405764,30.0,29.0,29.0,1004.2840955085424,0.0011854677389239,90.22650353838762,53.0,olesky,6.75,11.75,5.0,28,5.6,0
53,53,725.150210244978,8.0,424.6327283066965,0.0910600812422741,-0.0005089127987113,0.0975660672704601,0.0007060261378045,29.0,29.0,29.0,1004.2030901129848,-0.0006227578502991,90.96902116103192,39.0,olesky,11.75,16.75,5.0,29,5.8,0
54,54,515.3910618143292,7.0,496.3171442759024,0.0826867371014322,0.0009395136144548,0.0871722134909955,0.0088356668832135,30.0,30.0,30.0,1003.331447929739,0.000171915955676,82.60405036433082,55.0,olesky,16.75,21.75,5.0,30,6.0,0
55,55,535.770091140356,7.0,455.1279702361319,0.0618988185523377,-0.000565204646608,0.0622063246501477,0.003087425407608,31.0,30.0,32.0,1001.475287000414,-0.0001090711160987,61.83691973378538,22.0,olesky,21.75,26.75,5.0,32,6.4,0
56,56,940.8105979368912,9.0,637.8029513644183,0.0767734319717566,0.000520504339005,0.0757421915062328,0.0004353819372961,33.0,33.0,33.0,1001.8924716640124,0.0008658068252109,76.6198851078131,8.0,olesky,26.75,31.75,5.0,33,6.6,0
57,57,232.56142116905693,13.0,95.6562440956316,0.0620608856528055,-0.006938576752237,0.0550889814868287,0.0021212503400513,8.0,7.0,7.0,261.75540917854937,-0.0069467620759423,16.19789115538225,3.0,olesky,31.75,33.06,1.3100000000000025,7,5.34351145038167,1
58,58,1413.8683617923537,68.0,549.7395864584304,0.0854442226923245,0.0034973253031314,0.0849992888055632,-0.0036257481837373,31.0,30.0,31.0,1004.0676331381508,8.914704660614023e-05,85.35877846963223,11.0,rachel,23.19,28.19,5.0,27,5.4,0
59,59,269.83205713110647,12.0,81.30393975314492,0.0580004656152132,-0.0022783279379215,0.0447117271520377,-0.0038893562450132,5.0,4.0,5.0,142.3685134820206,0.0071798893743304,8.236066117360277,0.0,rachel,28.19,28.99,0.7999999999999972,5,6.250000000000022,0
0,0,422.78529837074825,10.0,584.1285046881795,0.0520788905245284,0.0017987583974703,0.0483336409641924,-0.0011473616083931,33.0,33.0,34.0,1000.9228326105916,0.0006054367489785,52.02681163400388,35.0,andres,4.2,9.2,4.999999999999999,34,6.800000000000002,0
